Name,Type,Win Rate,Damage Dealt Per Min,Healing Dealt Per Min,Damage Per 15 min Game,Healing Per 15 Min Game,Ult Cost,Time to Charge Ult (min),Ult Duration (s),Ult Duration (min),ults per game
Mantis,Strategists,54.31,840,1486,12600,22290,3700,3.167808219,8,0.1333333333,4.543882703
Adam Warlock,Strategists,53.61,972,1398,14580,20970,5000,4.201680672,0,0,3.57
Groot,Vanguards,53.45,1755,0,26325,0,2800,1.590909091,3.5,0.05833333333,9.095084979
Star-Lord,Duelists,52.93,1782,0,26730,0,3100,1.734750979,8,0.1333333333,8.029616168
Loki,Strategists,52,731,2219,10965,33285,4000,2.702702703,0,0,5.55
Magik,Duelists,51.9,1477,0,22155,0,3400,2.294197031,0,0,6.538235294
Jeff,Strategists,51.79,776,1296,11640,19440,4000,3.842459174,0,0,3.90375
Captain America,Vanguards,51.73,1139,7,17085,105,2800,4.844290657,10,0.1666666667,2.993439982
Storm,Duelists,51.72,1956,0,29340,0,3100,1.580826109,5,0.08333333333,9.013559409
Hulk,Vanguards,50.93,1187,0,17805,0,4000,6.683375104,,0,2.244375
Thor,Vanguards,51.61,1510,0,22650,0,3100,2.04620462,1.5,0.025,7.242162291
Venom,Vanguards,51.17,1395,0,20925,0,2500,1.785714286,4,0.06666666667,8.097686375
Mister Fantastic,Duelists,51.05,1582,0,23730,0,3400,2.142407057,0,0,7.001470588
Peni Parker,Vanguards,50.93,1381,207,20715,3105,3400,4.255319149,1,0.01666666667,3.511247614
Rocket Racoon,Strategists,50.6,149,2341,2235,35115,3700,2.96,0,0,5.067567568
Spider-Man,Duelists,50.51,1039,0,15585,0,2800,2.681992337,2.4,0.04,5.510669444
Psylocke,Duelists,50.1,1558,0,23370,0,2800,1.791426743,4,0.06666666667,8.07279113
Magneto,Vanguards,49.73,1512,0,22680,0,3100,2.043506922,4,0.06666666667,7.108419935
Namor,Duelists,49.7,1715,0,25725,0,3100,1.802325581,1.5,0.025,8.208717786
Hela,Duelists,49.63,1684,0,25260,0,4000,2.368265246,10,0.1666666667,5.917318697
Hawkeye,Duelists,49.38,1553,0,23295,0,3700,2.374839538,10,0.1666666667,5.902011954
Luna Snow,Strategists,49.2,525,2567,7875,38505,4500,2.901353965,0,0,5.17
Invisible Woman,Strategists,49.17,688,2289,10320,34335,4300,2.879142953,0,0,5.209883721
The Thing ,Vanguards,49.13,1459,0,21885,0,2800,1.912568306,2.5,0.04166666667,7.675637889
Doctor Strange,Vanguards,49.02,1512,0,22680,0,3400,2.241265656,3,0.05,6.546600112
Black Panther,Duelists,48.49,1172,0,17580,0,3300,2.803738318,0,0,5.35
Black Widow,Duelists,48.49,1325,0,19875,0,2800,2.105263158,10,0.1666666667,6.602316602
Winter Soldier,Duelists,47.17,1793,0,26895,0,3100,1.724137931,5,0.08333333333,8.298887122
The Punisher,Duelists,46.41,2070,0,31050,0,3400,1.638554217,10,0.1666666667,8.309232481
Iron Man,Duelists,46.11,1600,0,24000,0,2800,1.744548287,0,0,8.598214286
Cloak & Dagger,Strategists,43.01,572,2417,8580,36255,4000,2.667555852,0,0,5.623125
Squirrel Girl,Duelists,42.86,1995,0,29925,0,2800,1.4,10,0.1666666667,9.574468085
Moon Knight,Duelists,41.73,2003,8,30045,120,2800,2.770905492,3,0.05,5.317441524
Human Torch ,Duelists,44.63,1913,0,,,4000,2.085505735,,0.1333333333,6.760291998