id,name,meta
1011,Bruce Banner,"[{'platform': 'pc', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '8.98', 'win_rate': '51.87'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '7.08', 'win_rate': '51.59'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '7.97', 'win_rate': '50.38'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '6.68', 'win_rate': '54.66'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '5.46', 'win_rate': '53.81'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '7.27', 'win_rate': '51.43'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '4.47', 'win_rate': '54.49'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '7.02', 'win_rate': '52.31'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '7.56', 'win_rate': '50.88'}, {'platform': 'console', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '10.93', 'win_rate': '50.54'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '8.88', 'win_rate': '52.12'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '10.12', 'win_rate': '51.09'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '6.59', 'win_rate': '55.24'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '6.95', 'win_rate': '53.94'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '9.29', 'win_rate': '51.75'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '4.90', 'win_rate': '54.80'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '9.30', 'win_rate': '52.51'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '9.52', 'win_rate': '51.43'}]"
1014,The Punisher,"[{'platform': 'pc', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '7.58', 'win_rate': '48.32'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '10.07', 'win_rate': '48.00'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '10.35', 'win_rate': '46.77'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '6.20', 'win_rate': '46.84'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '9.58', 'win_rate': '48.63'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '10.29', 'win_rate': '48.37'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '8.29', 'win_rate': '48.28'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '9.96', 'win_rate': '48.71'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '10.29', 'win_rate': '47.71'}, {'platform': 'console', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '7.82', 'win_rate': '45.27'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '7.88', 'win_rate': '45.83'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '9.79', 'win_rate': '45.06'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '3.53', 'win_rate': '43.70'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '6.51', 'win_rate': '46.18'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '7.75', 'win_rate': '46.14'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '5.22', 'win_rate': '45.86'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '7.10', 'win_rate': '46.40'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '8.57', 'win_rate': '45.65'}]"
1015,Storm,"[{'platform': 'pc', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '3.73', 'win_rate': '58.11'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '5.49', 'win_rate': '57.48'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '3.39', 'win_rate': '58.35'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '6.54', 'win_rate': '54.68'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '5.79', 'win_rate': '56.42'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '6.21', 'win_rate': '57.71'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '4.69', 'win_rate': '55.87'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '7.05', 'win_rate': '56.97'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '5.08', 'win_rate': '58.25'}, {'platform': 'console', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '3.31', 'win_rate': '55.10'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '5.04', 'win_rate': '57.24'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '2.80', 'win_rate': '56.43'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '6.30', 'win_rate': '55.45'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '5.92', 'win_rate': '57.08'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '5.52', 'win_rate': '57.56'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '5.00', 'win_rate': '57.03'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '6.72', 'win_rate': '57.24'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '4.21', 'win_rate': '57.51'}]"
1016,Loki,"[{'platform': 'pc', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '8.22', 'win_rate': '52.55'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '5.98', 'win_rate': '52.10'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '6.40', 'win_rate': '52.27'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '13.12', 'win_rate': '52.85'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '6.41', 'win_rate': '51.63'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '5.57', 'win_rate': '52.14'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '8.79', 'win_rate': '51.82'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '5.38', 'win_rate': '52.12'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '5.78', 'win_rate': '52.26'}, {'platform': 'console', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '8.53', 'win_rate': '51.65'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '7.11', 'win_rate': '51.50'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '7.24', 'win_rate': '51.80'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '12.55', 'win_rate': '52.08'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '7.91', 'win_rate': '51.09'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '6.63', 'win_rate': '51.57'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '9.80', 'win_rate': '50.86'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '6.59', 'win_rate': '51.66'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '6.76', 'win_rate': '51.57'}]"
1017,Human Torch,
1018,Doctor Strange,"[{'platform': 'pc', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '15.50', 'win_rate': '50.72'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '24.59', 'win_rate': '51.14'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '17.70', 'win_rate': '50.25'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '37.20', 'win_rate': '51.48'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '32.61', 'win_rate': '51.77'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '23.93', 'win_rate': '51.07'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '35.68', 'win_rate': '51.64'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '28.16', 'win_rate': '51.46'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '20.71', 'win_rate': '50.68'}, {'platform': 'console', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '14.46', 'win_rate': '49.46'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '21.69', 'win_rate': '51.73'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '15.56', 'win_rate': '50.71'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '37.67', 'win_rate': '51.50'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '28.08', 'win_rate': '52.30'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '20.04', 'win_rate': '51.60'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '32.54', 'win_rate': '51.90'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '23.75', 'win_rate': '52.07'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '17.58', 'win_rate': '51.24'}]"
1020,Mantis,"[{'platform': 'pc', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '10.24', 'win_rate': '55.65'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '8.56', 'win_rate': '52.44'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '11.29', 'win_rate': '52.70'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '8.20', 'win_rate': '50.99'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '7.01', 'win_rate': '51.18'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '8.15', 'win_rate': '52.73'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '7.80', 'win_rate': '50.73'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '6.72', 'win_rate': '52.47'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '9.70', 'win_rate': '52.73'}, {'platform': 'console', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '9.15', 'win_rate': '54.40'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '8.62', 'win_rate': '52.27'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '10.77', 'win_rate': '52.97'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '6.86', 'win_rate': '51.15'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '7.02', 'win_rate': '51.08'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '8.77', 'win_rate': '52.50'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '7.00', 'win_rate': '50.58'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '7.22', 'win_rate': '52.08'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '10.01', 'win_rate': '52.56'}]"
1021,Hawkeye,"[{'platform': 'pc', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '3.26', 'win_rate': '44.63'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '2.14', 'win_rate': '44.28'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '3.18', 'win_rate': '44.96'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '1.95', 'win_rate': '45.00'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '1.64', 'win_rate': '43.24'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '1.90', 'win_rate': '43.93'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '1.73', 'win_rate': '43.73'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '1.63', 'win_rate': '43.38'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '2.30', 'win_rate': '44.76'}, {'platform': 'console', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '2.82', 'win_rate': '42.06'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '1.67', 'win_rate': '42.45'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '2.91', 'win_rate': '42.82'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '1.10', 'win_rate': '43.14'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '1.03', 'win_rate': '41.74'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '1.45', 'win_rate': '42.39'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '1.03', 'win_rate': '42.19'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '1.14', 'win_rate': '41.83'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '1.88', 'win_rate': '42.64'}]"
1022,Captain America,"[{'platform': 'pc', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '9.98', 'win_rate': '53.45'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '5.09', 'win_rate': '51.07'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '7.02', 'win_rate': '50.88'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '2.50', 'win_rate': '50.85'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '3.65', 'win_rate': '51.62'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '4.94', 'win_rate': '51.10'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '3.36', 'win_rate': '51.44'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '4.14', 'win_rate': '51.39'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '5.82', 'win_rate': '50.78'}, {'platform': 'console', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '8.88', 'win_rate': '51.32'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '4.66', 'win_rate': '50.38'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '5.84', 'win_rate': '49.89'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '3.33', 'win_rate': '52.33'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '4.09', 'win_rate': '51.26'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '4.59', 'win_rate': '50.21'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '4.16', 'win_rate': '52.10'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '4.18', 'win_rate': '50.72'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '5.07', 'win_rate': '49.73'}]"
1023,Rocket Raccoon,"[{'platform': 'pc', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '13.99', 'win_rate': '55.23'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '16.13', 'win_rate': '55.14'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '11.99', 'win_rate': '55.18'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '9.78', 'win_rate': '51.13'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '17.10', 'win_rate': '54.47'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '17.87', 'win_rate': '55.42'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '14.44', 'win_rate': '53.37'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '18.20', 'win_rate': '55.22'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '15.44', 'win_rate': '55.47'}, {'platform': 'console', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '12.49', 'win_rate': '53.13'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '14.19', 'win_rate': '54.67'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '10.19', 'win_rate': '53.70'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '11.03', 'win_rate': '52.54'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '16.98', 'win_rate': '54.37'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '14.57', 'win_rate': '55.14'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '15.33', 'win_rate': '54.06'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '16.24', 'win_rate': '54.93'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '12.31', 'win_rate': '54.83'}]"
1024,Hela,"[{'platform': 'pc', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '3.97', 'win_rate': '50.07'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '5.60', 'win_rate': '49.52'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '5.35', 'win_rate': '51.28'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '10.69', 'win_rate': '49.28'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '5.80', 'win_rate': '47.94'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '5.56', 'win_rate': '49.38'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '7.14', 'win_rate': '48.64'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '5.48', 'win_rate': '48.29'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '5.54', 'win_rate': '50.38'}, {'platform': 'console', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '2.33', 'win_rate': '45.80'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '2.68', 'win_rate': '47.76'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '2.71', 'win_rate': '48.50'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '4.67', 'win_rate': '48.01'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '2.75', 'win_rate': '46.69'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '2.62', 'win_rate': '47.74'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '3.17', 'win_rate': '47.32'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '2.57', 'win_rate': '47.09'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '2.65', 'win_rate': '48.52'}]"
1025,Cloak & Dagger,"[{'platform': 'pc', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '18.84', 'win_rate': '51.42'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '27.59', 'win_rate': '49.08'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '23.39', 'win_rate': '49.81'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '24.06', 'win_rate': '48.57'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '29.18', 'win_rate': '49.19'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '28.45', 'win_rate': '48.79'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '26.01', 'win_rate': '49.23'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '30.48', 'win_rate': '48.86'}, {'platform': 'pc', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '26.53', 'win_rate': '49.03'}, {'platform': 'console', 'mode': 'quickplay', 'rank': 'all', 'appearance_rate': '21.16', 'win_rate': '51.74'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'all', 'appearance_rate': '29.69', 'win_rate': '50.00'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'bronze', 'appearance_rate': '25.34', 'win_rate': '51.29'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'celestial and above', 'appearance_rate': '24.14', 'win_rate': '49.59'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'diamond', 'appearance_rate': '29.18', 'win_rate': '49.77'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'gold', 'appearance_rate': '31.18', 'win_rate': '49.75'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'grandmaster', 'appearance_rate': '24.80', 'win_rate': '49.80'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'platinum', 'appearance_rate': '33.21', 'win_rate': '49.59'}, {'platform': 'console', 'mode': 'competitive', 'rank': 'silver', 'appearance_rate': '29.05', 'win_rate': '50.19'}]"
